RecordNumber	Zipcode	ZipCodeType	City	State	LocationType	Lat	Long	Xaxis	Yaxis	Zaxis	WorldRegion	Country	LocationText	Location	Decommisioned	TaxReturnsFiled	EstimatedPopulation	TotalWages	Notes
1	704	STANDARD	PARC PARQUE	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Parc Parque, PR"	NA-US-PR-PARC PARQUE	FALSE				
2	704	STANDARD	PASEO COSTA DEL SUR	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Paseo Costa Del Sur, PR"	NA-US-PR-PASEO COSTA DEL SUR	FALSE				
3	704	STANDARD	SECT LANAUSSE	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Sect Lanausse, PR"	NA-US-PR-SECT LANAUSSE	FALSE				
4	704	STANDARD	URB EUGENE RICE	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Urb Eugene Rice, PR"	NA-US-PR-URB EUGENE RICE	FALSE				
5	704	STANDARD	URB GONZALEZ	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Urb Gonzalez, PR"	NA-US-PR-URB GONZALEZ	FALSE				
6	704	STANDARD	URB LA FABRICA	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Urb La Fabrica, PR"	NA-US-PR-URB LA FABRICA	FALSE				
7	704	STANDARD	URB MONTE SORIA 2	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Urb Monte Soria 2, PR"	NA-US-PR-URB MONTE SORIA 2	FALSE				
8	704	STANDARD	VILLAS DEL COQUI	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Villas Del Coqui, PR"	NA-US-PR-VILLAS DEL COQUI	FALSE				
9	705	STANDARD	AIBONITO	PR	PRIMARY	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Aibonito, PR"	NA-US-PR-AIBONITO	FALSE				
10	705	STANDARD	BDA SAN LUIS	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Bda San Luis, PR"	NA-US-PR-BDA SAN LUIS	FALSE				
11	705	STANDARD	BO LLANOS	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Bo Llanos, PR"	NA-US-PR-BO LLANOS	FALSE				
12	705	STANDARD	BRISAS DE AIBONITO	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Brisas De Aibonito, PR"	NA-US-PR-BRISAS DE AIBONITO	FALSE				
13	705	STANDARD	COLINAS DE SAN FRANCISCO	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Colinas De San Francisco, PR"	NA-US-PR-COLINAS DE SAN FRANCISCO	FALSE				
14	705	STANDARD	EST DEL LLANO	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Est Del Llano, PR"	NA-US-PR-EST DEL LLANO	FALSE				
15	705	STANDARD	EXT BELLA VISTA	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Ext Bella Vista, PR"	NA-US-PR-EXT BELLA VISTA	FALSE				
16	705	STANDARD	EXT SAN LUIS	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Ext San Luis, PR"	NA-US-PR-EXT SAN LUIS	FALSE				
17	705	STANDARD	EXT VILLA ROSALES	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Ext Villa Rosales, PR"	NA-US-PR-EXT VILLA ROSALES	FALSE				
18	705	STANDARD	REPTO ROBLES	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Repto Robles, PR"	NA-US-PR-REPTO ROBLES	FALSE				
19	705	STANDARD	URB BELLA VISTA	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Urb Bella Vista, PR"	NA-US-PR-URB BELLA VISTA	FALSE				
20	705	STANDARD	URB BUENA VISTA	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Urb Buena Vista, PR"	NA-US-PR-URB BUENA VISTA	FALSE				
21	705	STANDARD	URB GOLDEN VLG IV	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Urb Golden Vlg Iv, PR"	NA-US-PR-URB GOLDEN VLG IV	FALSE				
22	705	STANDARD	URB LA PROVIDENCIA	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Urb La Providencia, PR"	NA-US-PR-URB LA PROVIDENCIA	FALSE				
23	705	STANDARD	VILLA DE LA ROSA	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Villa De La Rosa, PR"	NA-US-PR-VILLA DE LA ROSA	FALSE				
24	705	STANDARD	VILLA ROSALES	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Villa Rosales, PR"	NA-US-PR-VILLA ROSALES	FALSE				
25	705	STANDARD	VILLAS DEL COQUI	PR	NOT ACCEPTABLE	18.14	-66.26	0.38	-0.86	0.31	NA	US	"Villas Del Coqui, PR"	NA-US-PR-VILLAS DEL COQUI	FALSE				
26	610	STANDARD	ANASCO	PR	PRIMARY	18.28	-67.14	0.36	-0.87	0.31	NA	US	"Anasco, PR"	NA-US-PR-ANASCO	FALSE				
27	610	STANDARD	BRISAS DE ANASCO	PR	NOT ACCEPTABLE	18.28	-67.14	0.36	-0.87	0.31	NA	US	"Brisas De Anasco, PR"	NA-US-PR-BRISAS DE ANASCO	FALSE				
28	610	STANDARD	EST DE VALLE VERDE	PR	NOT ACCEPTABLE	18.28	-67.14	0.36	-0.87	0.31	NA	US	"Est De Valle Verde, PR"	NA-US-PR-EST DE VALLE VERDE	FALSE				
29	610	STANDARD	JARD DE ANASCO	PR	NOT ACCEPTABLE	18.28	-67.14	0.36	-0.87	0.31	NA	US	"Jard De Anasco, PR"	NA-US-PR-JARD DE ANASCO	FALSE				
30	610	STANDARD	PASEO DEL VALLE	PR	NOT ACCEPTABLE	18.28	-67.14	0.36	-0.87	0.31	NA	US	"Paseo Del Valle, PR"	NA-US-PR-PASEO DEL VALLE	FALSE				
31	610	STANDARD	REPTO DAGUEY	PR	NOT ACCEPTABLE	18.28	-67.14	0.36	-0.87	0.31	NA	US	"Repto Daguey, PR"	NA-US-PR-REPTO DAGUEY	FALSE				
32	610	STANDARD	URB SAN ANTONIO	PR	NOT ACCEPTABLE	18.28	-67.14	0.36	-0.87	0.31	NA	US	"Urb San Antonio, PR"	NA-US-PR-URB SAN ANTONIO	FALSE				
33	611	PO BOX	ANGELES	PR	PRIMARY	18.28	-66.79	0.37	-0.87	0.31	NA	US	"Angeles, PR"	NA-US-PR-ANGELES	FALSE				"no NWS data, "
34	612	STANDARD	ARECIBO	PR	PRIMARY	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Arecibo, PR"	NA-US-PR-ARECIBO	FALSE				
35	612	STANDARD	ALT DE JUNCOS	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Alt De Juncos, PR"	NA-US-PR-ALT DE JUNCOS	FALSE				
36	612	STANDARD	ALT DE SAN FELIPE	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Alt De San Felipe, PR"	NA-US-PR-ALT DE SAN FELIPE	FALSE				
37	612	STANDARD	BDA DUHAMEL	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Bda Duhamel, PR"	NA-US-PR-BDA DUHAMEL	FALSE				
38	612	STANDARD	BO EL PASAJE	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Bo El Pasaje, PR"	NA-US-PR-BO EL PASAJE	FALSE				
39	612	STANDARD	BO ISLOTE	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Bo Islote, PR"	NA-US-PR-BO ISLOTE	FALSE				
40	612	STANDARD	BO ISLOTE II	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Bo Islote Ii, PR"	NA-US-PR-BO ISLOTE II	FALSE				
41	612	STANDARD	BO JAREALITOS	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Bo Jarealitos, PR"	NA-US-PR-BO JAREALITOS	FALSE				
42	612	STANDARD	BO OBRERO	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Bo Obrero, PR"	NA-US-PR-BO OBRERO	FALSE				
43	612	STANDARD	BO SANTANA	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Bo Santana, PR"	NA-US-PR-BO SANTANA	FALSE				
44	612	STANDARD	COMUNIDAD BUENOS AIRES	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Comunidad Buenos Aires, PR"	NA-US-PR-COMUNIDAD BUENOS AIRES	FALSE				
45	612	STANDARD	EST DE ARECIBO	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Est De Arecibo, PR"	NA-US-PR-EST DE ARECIBO	FALSE				
46	612	STANDARD	EST DE BALSEIRO	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Est De Balseiro, PR"	NA-US-PR-EST DE BALSEIRO	FALSE				
47	612	STANDARD	EXT MARISOL	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Ext Marisol, PR"	NA-US-PR-EXT MARISOL	FALSE				
48	612	STANDARD	EXT TANAMA	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Ext Tanama, PR"	NA-US-PR-EXT TANAMA	FALSE				
49	612	STANDARD	EXT VILLA LOS SANTOS I	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Ext Villa Los Santos I, PR"	NA-US-PR-EXT VILLA LOS SANTOS I	FALSE				
50	612	STANDARD	EXT VILLA LOS SANTOS II	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Ext Villa Los Santos Ii, PR"	NA-US-PR-EXT VILLA LOS SANTOS II	FALSE				
51	612	STANDARD	HACIENDA TOLEDO	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Hacienda Toledo, PR"	NA-US-PR-HACIENDA TOLEDO	FALSE				
52	612	STANDARD	JARD DE ARECIBO	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Jard De Arecibo, PR"	NA-US-PR-JARD DE ARECIBO	FALSE				
53	612	STANDARD	JARD DE SAN RAFAEL	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Jard De San Rafael, PR"	NA-US-PR-JARD DE SAN RAFAEL	FALSE				
54	612	STANDARD	PARC MATTEY	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Parc Mattey, PR"	NA-US-PR-PARC MATTEY	FALSE				
55	612	STANDARD	PARC NAVAS	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Parc Navas, PR"	NA-US-PR-PARC NAVAS	FALSE				
56	612	STANDARD	PARC PEREZ	PR	NOT ACCEPTABLE	18.45	-66.73	0.37	-0.87	0.31	NA	US	"Parc Perez, PR"	NA-US-PR-PARC PEREZ	FALSE				
57	601	STANDARD	ADJUNTAS	PR	PRIMARY	18.16	-66.72	0.37	-0.87	0.31	NA	US	"Adjuntas, PR"	NA-US-PR-ADJUNTAS	FALSE				
58	601	STANDARD	COLINAS DEL GIGANTE	PR	NOT ACCEPTABLE	18.16	-66.72	0.37	-0.87	0.31	NA	US	"Colinas Del Gigante, PR"	NA-US-PR-COLINAS DEL GIGANTE	FALSE				
59	601	STANDARD	JARD DE ADJUNTAS	PR	NOT ACCEPTABLE	18.16	-66.72	0.37	-0.87	0.31	NA	US	"Jard De Adjuntas, PR"	NA-US-PR-JARD DE ADJUNTAS	FALSE				
60	601	STANDARD	URB SAN JOAQUIN	PR	NOT ACCEPTABLE	18.16	-66.72	0.37	-0.87	0.31	NA	US	"Urb San Joaquin, PR"	NA-US-PR-URB SAN JOAQUIN	FALSE				
61	631	PO BOX	CASTANER	PR	PRIMARY	18.19	-66.82	0.37	-0.87	0.31	NA	US	"Castaner, PR"	NA-US-PR-CASTANER	FALSE				
62	631	PO BOX	ADJUNTAS	PR	ACCEPTABLE	18.19	-66.82	0.37	-0.87	0.31	NA	US	"Adjuntas, PR"	NA-US-PR-ADJUNTAS	FALSE				
63	602	STANDARD	AGUADA	PR	PRIMARY	18.38	-67.18	0.36	-0.87	0.31	NA	US	"Aguada, PR"	NA-US-PR-AGUADA	FALSE				
64	602	STANDARD	ALTS DE AGUADA	PR	NOT ACCEPTABLE	18.38	-67.18	0.36	-0.87	0.31	NA	US	"Alts De Aguada, PR"	NA-US-PR-ALTS DE AGUADA	FALSE				
65	602	STANDARD	BO GUANIQUILLA	PR	NOT ACCEPTABLE	18.38	-67.18	0.36	-0.87	0.31	NA	US	"Bo Guaniquilla, PR"	NA-US-PR-BO GUANIQUILLA	FALSE				
66	602	STANDARD	COMUNIDAD LAS FLORES	PR	NOT ACCEPTABLE	18.38	-67.18	0.36	-0.87	0.31	NA	US	"Comunidad Las Flores, PR"	NA-US-PR-COMUNIDAD LAS FLORES	FALSE				
67	602	STANDARD	EXT LOS ROBLES	PR	NOT ACCEPTABLE	18.38	-67.18	0.36	-0.87	0.31	NA	US	"Ext Los Robles, PR"	NA-US-PR-EXT LOS ROBLES	FALSE				
68	602	STANDARD	URB ISABEL LA CATOLICA	PR	NOT ACCEPTABLE	18.38	-67.18	0.36	-0.87	0.31	NA	US	"Urb Isabel La Catolica, PR"	NA-US-PR-URB ISABEL LA CATOLICA	FALSE				
69	603	STANDARD	AGUADILLA	PR	PRIMARY	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Aguadilla, PR"	NA-US-PR-AGUADILLA	FALSE				
70	603	STANDARD	RAMEY	PR	ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Ramey, PR"	NA-US-PR-RAMEY	FALSE				
71	603	STANDARD	BDA CABAN	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Bda Caban, PR"	NA-US-PR-BDA CABAN	FALSE				
72	603	STANDARD	BDA ESTEVES	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Bda Esteves, PR"	NA-US-PR-BDA ESTEVES	FALSE				
73	603	STANDARD	BO BORINQUEN	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Bo Borinquen, PR"	NA-US-PR-BO BORINQUEN	FALSE				
74	603	STANDARD	BO CEIBA BAJA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Bo Ceiba Baja, PR"	NA-US-PR-BO CEIBA BAJA	FALSE				
75	603	STANDARD	EXT EL PRADO	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Ext El Prado, PR"	NA-US-PR-EXT EL PRADO	FALSE				
76	603	STANDARD	EXT MARBELLA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Ext Marbella, PR"	NA-US-PR-EXT MARBELLA	FALSE				
77	603	STANDARD	REPTO JIMENEZ	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Repto Jimenez, PR"	NA-US-PR-REPTO JIMENEZ	FALSE				
78	603	STANDARD	REPTO JUAN AGUIAR	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Repto Juan Aguiar, PR"	NA-US-PR-REPTO JUAN AGUIAR	FALSE				
79	603	STANDARD	REPTO LOPEZ	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Repto Lopez, PR"	NA-US-PR-REPTO LOPEZ	FALSE				
80	603	STANDARD	REPTO TRES PALMAS	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Repto Tres Palmas, PR"	NA-US-PR-REPTO TRES PALMAS	FALSE				
81	603	STANDARD	SECT LAS VILLAS	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Sect Las Villas, PR"	NA-US-PR-SECT LAS VILLAS	FALSE				
82	603	STANDARD	URB BORINQUEN	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Borinquen, PR"	NA-US-PR-URB BORINQUEN	FALSE				
83	603	STANDARD	URB EL PRADO	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb El Prado, PR"	NA-US-PR-URB EL PRADO	FALSE				
84	603	STANDARD	URB ESTEVES	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Esteves, PR"	NA-US-PR-URB ESTEVES	FALSE				
85	603	STANDARD	URB GARCIA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Garcia, PR"	NA-US-PR-URB GARCIA	FALSE				
86	603	STANDARD	URB LAS AMERICAS	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Las Americas, PR"	NA-US-PR-URB LAS AMERICAS	FALSE				
87	603	STANDARD	URB LAS CASITAS COUNTRY CLUB	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Las Casitas Country Club, PR"	NA-US-PR-URB LAS CASITAS COUNTRY CLUB	FALSE				
88	603	STANDARD	URB MALEZA GDNS	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Maleza Gdns, PR"	NA-US-PR-URB MALEZA GDNS	FALSE				
89	603	STANDARD	URB MARBELLA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Marbella, PR"	NA-US-PR-URB MARBELLA	FALSE				
90	603	STANDARD	URB RAMEY	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Ramey, PR"	NA-US-PR-URB RAMEY	FALSE				
91	603	STANDARD	URB RUBIANES	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Rubianes, PR"	NA-US-PR-URB RUBIANES	FALSE				
92	603	STANDARD	URB SAN CARLOS	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb San Carlos, PR"	NA-US-PR-URB SAN CARLOS	FALSE				
93	603	STANDARD	URB SANTA MARTA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Santa Marta, PR"	NA-US-PR-URB SANTA MARTA	FALSE				
94	603	STANDARD	URB VICTORIA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Urb Victoria, PR"	NA-US-PR-URB VICTORIA	FALSE				
95	603	STANDARD	VILLA ALEGRIA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Villa Alegria, PR"	NA-US-PR-VILLA ALEGRIA	FALSE				
96	603	STANDARD	VILLA LINDA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Villa Linda, PR"	NA-US-PR-VILLA LINDA	FALSE				
97	603	STANDARD	VILLA LYDIA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Villa Lydia, PR"	NA-US-PR-VILLA LYDIA	FALSE				
98	603	STANDARD	VILLA UNIVERSITARIA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Villa Universitaria, PR"	NA-US-PR-VILLA UNIVERSITARIA	FALSE				
99	603	STANDARD	VILLAS DE ALMERIA	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Villas De Almeria, PR"	NA-US-PR-VILLAS DE ALMERIA	FALSE				
100	603	STANDARD	VISTA ALEGRE	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Vista Alegre, PR"	NA-US-PR-VISTA ALEGRE	FALSE				
101	603	STANDARD	VISTA VERDE	PR	NOT ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Vista Verde, PR"	NA-US-PR-VISTA VERDE	FALSE				
102	604	PO BOX	AGUADILLA	PR	PRIMARY	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Aguadilla, PR"	NA-US-PR-AGUADILLA	FALSE				
103	604	PO BOX	RAMEY	PR	ACCEPTABLE	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Ramey, PR"	NA-US-PR-RAMEY	FALSE				
104	605	PO BOX	AGUADILLA	PR	PRIMARY	18.43	-67.15	0.36	-0.87	0.31	NA	US	"Aguadilla, PR"	NA-US-PR-AGUADILLA	FALSE				
105	703	STANDARD	AGUAS BUENAS	PR	PRIMARY	18.25	-66.1	0.38	-0.86	0.31	NA	US	"Aguas Buenas, PR"	NA-US-PR-AGUAS BUENAS	FALSE				
106	703	STANDARD	EST DEL RIO	PR	NOT ACCEPTABLE	18.25	-66.1	0.38	-0.86	0.31	NA	US	"Est Del Rio, PR"	NA-US-PR-EST DEL RIO	FALSE				
107	703	STANDARD	MANS DE AGUAS BUENAS	PR	NOT ACCEPTABLE	18.25	-66.1	0.38	-0.86	0.31	NA	US	"Mans De Aguas Buenas, PR"	NA-US-PR-MANS DE AGUAS BUENAS	FALSE				
108	703	STANDARD	URB SAN ANTONIO	PR	NOT ACCEPTABLE	18.25	-66.1	0.38	-0.86	0.31	NA	US	"Urb San Antonio, PR"	NA-US-PR-URB SAN ANTONIO	FALSE				
109	704	STANDARD	AGUIRRE	PR	PRIMARY	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Aguirre, PR"	NA-US-PR-AGUIRRE	FALSE				
110	704	STANDARD	EST DE TRINITARIA	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Est De Trinitaria, PR"	NA-US-PR-EST DE TRINITARIA	FALSE				
111	704	STANDARD	EXT EL COQUI	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Ext El Coqui, PR"	NA-US-PR-EXT EL COQUI	FALSE				
112	704	STANDARD	PARC CABASA	PR	NOT ACCEPTABLE	17.96	-66.22	0.38	-0.87	0.3	NA	US	"Parc Cabasa, PR"	NA-US-PR-PARC CABASA	FALSE				
113	7093	STANDARD	MONITOR	NJ	NOT ACCEPTABLE	40.78	-74	0.2	-0.72	0.65	NA	US	"Monitor, NJ"	NA-US-NJ-MONITOR	FALSE	26571	42640	1071975636	
114	7093	STANDARD	TAURUS	NJ	NOT ACCEPTABLE	40.78	-74	0.2	-0.72	0.65	NA	US	"Taurus, NJ"	NA-US-NJ-TAURUS	FALSE	26571	42640	1071975636	
115	7675	STANDARD	WESTWOOD	NJ	PRIMARY	40.98	-74.03	0.2	-0.72	0.65	NA	US	"Westwood, NJ"	NA-US-NJ-WESTWOOD	FALSE	13245	24083	1089095041	
116	7675	STANDARD	OLD TAPPAN	NJ	ACCEPTABLE	40.98	-74.03	0.2	-0.72	0.65	NA	US	"Old Tappan, NJ"	NA-US-NJ-OLD TAPPAN	FALSE	13245	24083	1089095041	
117	7675	STANDARD	RIVER VALE	NJ	ACCEPTABLE	40.98	-74.03	0.2	-0.72	0.65	NA	US	"River Vale, NJ"	NA-US-NJ-RIVER VALE	FALSE	13245	24083	1089095041	
118	7675	STANDARD	RIVERVALE	NJ	ACCEPTABLE	40.98	-74.03	0.2	-0.72	0.65	NA	US	"Rivervale, NJ"	NA-US-NJ-RIVERVALE	FALSE	13245	24083	1089095041	
119	7677	STANDARD	WOODCLIFF LAKE	NJ	PRIMARY	41.02	-74.05	0.2	-0.72	0.65	NA	US	"Woodcliff Lake, NJ"	NA-US-NJ-WOODCLIFF LAKE	FALSE	2945	5471	325436960	
120	7677	STANDARD	WESTWOOD	NJ	ACCEPTABLE	41.02	-74.05	0.2	-0.72	0.65	NA	US	"Westwood, NJ"	NA-US-NJ-WESTWOOD	FALSE	2945	5471	325436960	
121	7677	STANDARD	WOODCLIFF LK	NJ	ACCEPTABLE	41.02	-74.05	0.2	-0.72	0.65	NA	US	"Woodcliff Lk, NJ"	NA-US-NJ-WOODCLIFF LK	FALSE	2945	5471	325436960	
122	7885	STANDARD	WHARTON	NJ	PRIMARY	40.89	-74.58	0.2	-0.72	0.65	NA	US	"Wharton, NJ"	NA-US-NJ-WHARTON	FALSE	5273	8999	240827990	
123	7981	STANDARD	WHIPPANY	NJ	PRIMARY	40.82	-74.41	0.2	-0.72	0.65	NA	US	"Whippany, NJ"	NA-US-NJ-WHIPPANY	FALSE	4585	8057	292096795	
124	7999	STANDARD	WHIPPANY	NJ	PRIMARY	40.82	-74.41	0.2	-0.72	0.65	NA	US	"Whippany, NJ"	NA-US-NJ-WHIPPANY	FALSE				
125	8888	PO BOX	WHITEHOUSE	NJ	PRIMARY	40.62	-74.76	0.19	-0.73	0.65	NA	US	"Whitehouse, NJ"	NA-US-NJ-WHITEHOUSE	FALSE				
126	8889	STANDARD	WHITEHOUSE STATION	NJ	PRIMARY	40.6	-74.76	0.19	-0.73	0.65	NA	US	"Whitehouse Station, NJ"	NA-US-NJ-WHITEHOUSE STATION	FALSE	4691	8570	401312434	
127	8889	STANDARD	WHITE HSE STA	NJ	ACCEPTABLE	40.6	-74.76	0.19	-0.73	0.65	NA	US	"White Hse Sta, NJ"	NA-US-NJ-WHITE HSE STA	FALSE	4691	8570	401312434	
128	8889	STANDARD	WHITE HOUSE STATION	NJ	NOT ACCEPTABLE	40.6	-74.76	0.19	-0.73	0.65	NA	US	"White House Station, NJ"	NA-US-NJ-WHITE HOUSE STATION	FALSE	4691	8570	401312434	
129	7095	STANDARD	WOODBRIDGE	NJ	PRIMARY	40.55	-74.28	0.2	-0.73	0.65	NA	US	"Woodbridge, NJ"	NA-US-NJ-WOODBRIDGE	FALSE	10018	17272	528315021	
130	7481	STANDARD	WYCKOFF	NJ	PRIMARY	40.99	-74.16	0.2	-0.72	0.65	NA	US	"Wyckoff, NJ"	NA-US-NJ-WYCKOFF	FALSE	8079	15208	896273759	
131	10451	STANDARD	BRONX	NY	PRIMARY	40.84	-73.87	0.21	-0.72	0.65	NA	US	"Bronx, NY"	NA-US-NY-BRONX	FALSE	19434	31477	471446942	
132	10452	STANDARD	BRONX	NY	PRIMARY	40.84	-73.87	0.21	-0.72	0.65	NA	US	"Bronx, NY"	NA-US-NY-BRONX	FALSE	33517	56277	723508523	
133	10452	STANDARD	HIGHBRIDGE	NY	NOT ACCEPTABLE	40.84	-73.87	0.21	-0.72	0.65	NA	US	"Highbridge, NY"	NA-US-NY-HIGHBRIDGE	FALSE	33517	56277	723508523	
134	10452	STANDARD	STADIUM	NY	NOT ACCEPTABLE	40.84	-73.87	0.21	-0.72	0.65	NA	US	"Stadium, NY"	NA-US-NY-STADIUM	FALSE	33517	56277	723508523	
