model,accuracy,macro_f1,weighted_f1,train_seconds,predict_seconds,notes
MiniLearn LogisticRegression,0.689161554192229,0.6805377806560957,0.6881002080306559,2.491355188999478,0.0012361330000203452,"softmax GD, same params as week 6"
sklearn LogisticRegression,0.6952965235173824,0.6812145703716055,0.6950874377663959,15.733877477000533,0.007211783999991894,library sanity check
MiniLearn GaussianNB,0.4335378323108384,0.4148770503188621,0.42484196829137877,0.02232319999984611,0.0068557730000975425,"assumes feature independence, which is kinda fake for audio"
sklearn GaussianNB,0.4335378323108384,0.4148770503188621,0.42484196829137877,0.009466161000091233,0.007947011000396742,same simple baseline
MiniLearn KNN k=3,0.6850715746421268,0.6630273003922348,0.682568356243621,5.9670999689842574e-05,2.277777827999671,3-fold CV picked k on train only
sklearn KNN k=3,0.6850715746421268,0.6630273003922348,0.682568356243621,0.00115475599977799,0.03885269599959429,same k/weights as MiniLearn
